game_id,input_sequence,target_move
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3 Ka6 Ra5+ Kb7 c5 Kc7 Rd3 Kb7 c4 Kc6 Rc5+,Kb7
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3 Ka6 Ra5+ Kb7 c5 Kc7 Rd3 Kb7 c4 Kc6 Rc5+ Kb7 Rd7+,Ka6
Og9t31ml,e4,e5
Og9t31ml,e4 e5 Nf3,g5
Og9t31ml,e4 e5 Nf3 g5 Nxe5,Bg7
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3,f6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4,c6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4,Ne7
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2,d5
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5,cxd5
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+,Nbc6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+,Ng6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3,O-O
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6,hxg6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6,Qd7
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O,Nxd4
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3,Nxc2
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2,Re8
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3,f5
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5,a6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3,b5
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3,Qe7
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+,Kf8
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5,Qd6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1,Re2
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3,Rc2
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3 Rc2 Rxd6,Ke8
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3 Rc2 Rxd6 Ke8 Qxg7,Re2
a98pKgx0,Nf3,b6
a98pKgx0,Nf3 b6 g3,Bb7
a98pKgx0,Nf3 b6 g3 Bb7 Bg2,c5
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O,d5
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3,d4
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1,g6
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4,Bg7
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2,Nh6
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4,O-O
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5,f6
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6,Bxh6
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3,Nc6
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2,f5
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5,Qe8
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2,Bg7
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5,Bh6
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4,Rd8
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6,b5
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8,bxc4
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6,cxd3
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3,Nb4
